condition,event_id,exceedance_probability_any_count,exceedance_probability_any_mean,exceedance_probability_any_std,f1_count,f1_mean,f1_std,f2_count,f2_mean,f2_std,f3_count,f3_mean,f3_std,factor,hard_physical_violation_count,hard_physical_violation_mean,hard_physical_violation_std,max_q_safe_ratio_count,max_q_safe_ratio_mean,max_q_safe_ratio_std,minimum_safety_margin_m3s_count,minimum_safety_margin_m3s_mean,minimum_safety_margin_m3s_std,operational_deviation_count,operational_deviation_mean,operational_deviation_std,peak_reduction_pct_count,peak_reduction_pct_mean,peak_reduction_pct_std,plan_constraint_violation_count,plan_constraint_violation_mean,plan_constraint_violation_std,seconds_count,seconds_mean,seconds_std,strategy,tail_peak_ratio_cvar95_count,tail_peak_ratio_cvar95_mean,tail_peak_ratio_cvar95_std
matched,P01,5,0.1328125,0.13889863721757115,5,0.023231552658787603,0.01775660175487499,5,116.78232211588457,37.12909253178776,5,0.07406049706499475,0.004025182887222331,2.25,5,0.7873801812059493,0.26743134849885447,5,1.3019221184921235,0.23325062825021511,5,-17118.984118503395,13225.310621787197,5,0.3773421894247559,0.057635767887185045,5,-14.360452770026944,20.693801757981852,5,3.995560723370763e-17,3.0084158122199504e-17,5,480.37895248010756,9.014433965750166,dynamic_budget,5,1.1280922381352299,0.09901216812661168
matched,P01,5,0.166796875,0.11077507916522787,5,0.032609118827190045,0.009424324220650515,5,141.41957946452914,39.89213269194859,5,0.07399581365397043,0.004985248596160213,2.25,5,0.7616520862632564,0.30532700578021166,5,1.3667632488428667,0.15254869425203862,5,-20795.47620939055,8649.51096409059,5,0.38224148336699915,0.08101922340200196,5,-20.137788161328196,14.314452133639737,5,4.76959876743283e-17,2.0771254534498796e-17,5,491.99800942,8.242144983349425,fixed_budget,5,1.202786960873417,0.05663332264697717
matched,P01,5,0.01640625,0.012398883006331154,5,0.005378159530179963,0.004889621197515162,5,109.34102897006096,41.9742755272499,5,0.07083777418018779,0.004736493230180885,2.25,5,0.7910573006455731,0.29525873848737355,5,1.2975003132884244,0.21106918433159963,5,-16868.26776345367,11967.622751601697,5,0.35822993944752646,0.06973357174579416,5,-13.977264854362915,18.748212805604517,5,4.761829605528084e-17,2.0683628041882297e-17,5,489.7305396599695,10.364409270448384,full_method,5,0.9720352275663797,0.0981158405467474
matched,P01,5,0.795703125,0.18864397115084938,5,0.027133047278707884,0.013228901245790166,5,81.56721369747812,41.17607761345203,5,0.07468328506867405,0.00657886962856158,2.25,5,0.7895439394662829,0.2667399341895079,5,1.2507620923229217,0.052144283124308244,5,-14218.210634709661,2956.5808531482744,5,0.4249603309371732,0.10538368007170738,5,-9.858759168227426,4.1790224951761425,5,6.793109075918704e-17,1.8324642207406215e-17,5,481.47846351997,12.512599310268653,no_budget,5,1.2127869959417348,0.03770891874340216
normal,P01,5,0.0,0.0,5,0.0,0.0,5,13.719084122829983,0.9891312917605323,5,0.033712343373796305,0.0034339670654023884,1.0,5,0.0,0.0,5,0.6001337782655506,0.047671902903597976,5,22672.41477234328,2702.9968946340045,5,0.1929553255786835,0.026595457231642017,5,-4.750300227473022,8.913863341736452,5,1.1328703148572604e-17,1.632011614890636e-17,5,404.56275782007725,10.46970663911056,dynamic_budget,5,0.6001337782655506,0.047671902903597976
normal,P01,5,0.0,0.0,5,0.0,0.0,5,13.719084122829983,0.9891312917605323,5,0.033712343373796305,0.0034339670654023884,1.0,5,0.0,0.0,5,0.6001337782655506,0.047671902903597976,5,22672.41477234328,2702.9968946340045,5,0.1929553255786835,0.026595457231642017,5,-4.750300227473022,8.913863341736452,5,1.1328703148572604e-17,1.632011614890636e-17,5,396.81172479996457,15.679582873166845,fixed_budget,5,0.6001337782655506,0.047671902903597976
normal,P01,5,0.0,0.0,5,0.0,0.0,5,11.760675159772259,1.1795723701689644,5,0.01792499911532939,0.002596298605784682,1.0,5,0.0,0.0,5,0.3668021323172304,0.07847051664683023,5,35902.319097613035,4449.278293875272,5,0.18708773621082192,0.020438888723396435,5,36.01593925996325,13.493052072138706,5,0.0,0.0,5,428.116369019961,5.134884413027604,full_method,5,0.36680213231723036,0.07847051664683023
normal,P01,5,0.0,0.0,5,0.0,0.0,5,13.043037186208906,1.9887433373670897,5,0.0330596873575406,0.002734071870913497,1.0,5,0.0,0.0,5,0.5367749373051478,0.052809686547532576,5,26264.861054798115,2994.3092272450967,5,0.18072045227815198,0.036622098461389335,5,6.306134291766178,9.644530976490657,5,7.098495233349683e-18,9.720014909121299e-18,5,400.62505472004415,15.08609684289265,no_budget,5,0.5367749373051479,0.05280968654753254
matched,P02,5,0.166015625,0.05672474895100627,5,0.036762122534692965,0.005070817477311739,5,253.17476229597796,51.29757313724917,5,0.07364294305785588,0.0058421064005840986,3.25,5,0.33500258510290354,0.050933161955114235,5,1.4169150186674773,0.033700919071685466,5,-23639.081558445956,1910.8421113645695,5,0.391541213204524,0.04935092756055435,5,-24.014523087350113,6.143649902846222,5,5.517231074685545e-17,2.1982558916266432e-17,5,707.5703974800184,14.15467257507615,dynamic_budget,5,1.2029013666683586,0.0095681714441108
matched,P02,5,0.190625,0.05351705061969736,5,0.0424154189592883,0.00994198774182254,5,271.83297614440113,46.550500992545594,5,0.07297665223234666,0.002095675535448114,3.25,5,0.3350025851029036,0.0509331619551144,5,1.458338233786589,0.05698936874190998,5,-25987.77785569961,3231.297207666294,5,0.40077040375803835,0.06866747575377503,5,-27.764561164083545,9.768200908518903,5,4.743238886974152e-17,1.556033953099908e-17,5,721.8239907599985,8.685699764420496,fixed_budget,5,1.2300363913309647,0.03638004882512953
