condition,epsilon_sum,event_id,execution_days,planning_all_feasible,seed_index,strategy
matched,0.05,P04,16,False,0,dynamic_budget
matched,0.049999999999999996,P04,16,False,1,dynamic_budget
matched,0.049999999999999996,P04,16,False,2,dynamic_budget
matched,0.05000000000000002,P04,16,False,3,dynamic_budget
matched,0.05000000000000001,P04,16,False,4,dynamic_budget
matched,0.04999999999999997,P04,16,False,0,fixed_budget
matched,0.04999999999999997,P04,16,False,1,fixed_budget
matched,0.04999999999999997,P04,16,False,2,fixed_budget
matched,0.04999999999999997,P04,16,False,3,fixed_budget
matched,0.04999999999999997,P04,16,False,4,fixed_budget
matched,0.05000000000000002,P04,16,False,0,full_method
matched,0.05000000000000001,P04,16,False,1,full_method
matched,0.05,P04,16,False,2,full_method
matched,0.05000000000000001,P04,16,False,3,full_method
matched,0.04999999999999999,P04,16,False,4,full_method
matched,0.0,P04,16,True,0,no_budget
matched,0.0,P04,16,True,1,no_budget
matched,0.0,P04,16,True,2,no_budget
matched,0.0,P04,16,True,3,no_budget
matched,0.0,P04,16,True,4,no_budget
normal,0.04999999999999999,P04,16,True,0,dynamic_budget
normal,0.049999999999999996,P04,16,True,1,dynamic_budget
normal,0.049999999999999996,P04,16,True,2,dynamic_budget
normal,0.05,P04,16,True,3,dynamic_budget
normal,0.05,P04,16,True,4,dynamic_budget
normal,0.04999999999999997,P04,16,True,0,fixed_budget
normal,0.04999999999999997,P04,16,True,1,fixed_budget
normal,0.04999999999999997,P04,16,True,2,fixed_budget
normal,0.04999999999999997,P04,16,True,3,fixed_budget
normal,0.04999999999999997,P04,16,True,4,fixed_budget
normal,0.049999999999999996,P04,16,True,0,full_method
normal,0.049999999999999996,P04,16,True,1,full_method
normal,0.05000000000000001,P04,16,True,2,full_method
normal,0.05000000000000001,P04,16,True,3,full_method
normal,0.049999999999999996,P04,16,True,4,full_method
normal,0.0,P04,16,True,0,no_budget
normal,0.0,P04,16,True,1,no_budget
