algorithm,condition,evaluations,event_id,seconds,seed_index
MOABC,normal,4000,P01,31.847732100170106,0
MOABC,normal,4000,P01,36.05819829972461,1
MOABC,normal,4000,P01,31.597631100099534,2
MOABC,normal,4000,P01,35.6514075002633,3
MOABC,normal,4000,P01,33.96205290034413,4
MOABC,normal,4000,P01,32.50547549966723,5
MOABC,normal,4000,P01,31.662860000040382,6
MOABC,normal,4000,P01,33.09769879980013,7
MOABC,normal,4000,P01,31.980490600224584,8
MOABC,normal,4000,P01,28.80151619995013,9
MOEA/D,normal,4000,P01,24.52825880004093,0
MOEA/D,normal,4000,P01,24.47191199986264,1
MOEA/D,normal,4000,P01,24.760888599790633,2
MOEA/D,normal,4000,P01,24.565193699672818,3
MOEA/D,normal,4000,P01,24.333657099865377,4
MOEA/D,normal,4000,P01,24.50319969980046,5
MOEA/D,normal,4000,P01,24.4481485998258,6
MOEA/D,normal,4000,P01,24.600132500287145,7
MOEA/D,normal,4000,P01,24.762943599838763,8
MOEA/D,normal,4000,P01,24.716355700045824,9
MOPSO,normal,4000,P01,24.866644999943674,0
MOPSO,normal,4000,P01,24.809164099860936,1
MOPSO,normal,4000,P01,24.67275630030781,2
MOPSO,normal,4000,P01,24.47844299999997,3
MOPSO,normal,4000,P01,24.492812300100923,4
MOPSO,normal,4000,P01,24.72330139996484,5
MOPSO,normal,4000,P01,24.601675800047815,6
MOPSO,normal,4000,P01,24.638460699934512,7
MOPSO,normal,4000,P01,24.798406399786472,8
MOPSO,normal,4000,P01,26.515033999923617,9
NSGA-III,normal,4000,P01,36.056530999951065,0
NSGA-III,normal,4000,P01,34.304189700167626,1
NSGA-III,normal,4000,P01,35.21365679986775,2
NSGA-III,normal,4000,P01,35.02913110004738,3
NSGA-III,normal,4000,P01,34.469290300272405,4
NSGA-III,normal,4000,P01,34.70541809964925,5
NSGA-III,normal,4000,P01,34.64765760023147,6
NSGA-III,normal,4000,P01,34.76428439980373,7
NSGA-III,normal,4000,P01,35.110513700172305,8
NSGA-III,normal,4000,P01,33.01938930014148,9
NSGA-II,normal,4000,P01,36.339532000012696,0
NSGA-II,normal,4000,P01,33.708056500181556,1
NSGA-II,normal,4000,P01,34.1727543999441,2
NSGA-II,normal,4000,P01,35.14340509986505,3
NSGA-II,normal,4000,P01,35.35221470007673,4
NSGA-II,normal,4000,P01,34.41127589996904,5
